Line#,Date,"Water Content (RXW-GP4A 21474793:22221785-3), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-4), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-9), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-10), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-5), *C, Soap","Water Content (RXW-GP4A 21474793:22221785-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22221785-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22221785-8), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-6), *C, Soap","Temperature (RXW-GP4A 21474793:22221785-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-3), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-10), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-9), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-5), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22094718-8), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-6), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-9), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-8), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-7), *C, Soap","Water Content (RXW-GP4A 21474793:22125551-1), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-5), *C, Soap","Temperature (RXW-GP4A 21474793:22125551-10), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-4), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22094718-2), m^3/m^3, Soap","Water Content (RXW-GP4A 21474793:22125551-2), m^3/m^3, Soap","Temperature (RXW-GP4A 21474793:22125551-6), *C, Soap","Temperature (RXW-GP4A 21474793:22094718-7), *C, Soap","Water Content (RXW-GP4A 21474793:22094718-3), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap"
18,02/09/25 06:20:00,0.183,0.152,6.8,7.3,4.8,0.002,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.9,0.104,7.3,7.5,9.0,8.5,8.0,0.092,7.8,9.5,0.379,0.110,0.120,8.3,7.5,0.237,0.432,7.8,0.515,7.8,6.8,0.378,7.5,0.445,7.1,7.0,7.5,0.552,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.7
19,02/09/25 06:25:00,0.183,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.9,0.104,7.3,7.5,9.1,8.5,8.0,0.091,7.8,9.5,0.379,0.110,0.120,8.3,7.5,0.237,0.432,7.8,0.515,7.8,6.8,0.379,7.6,0.445,7.2,7.0,7.5,0.552,7.3,0.343,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.7
20,02/09/25 06:30:00,0.182,0.152,6.8,7.3,4.8,0.002,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.4,9.1,8.5,8.0,0.091,7.8,9.4,0.379,0.110,0.120,8.3,7.5,0.237,0.432,7.8,0.515,8.0,6.8,0.379,7.6,0.445,7.2,7.0,7.5,0.000,0.0,0.343,0.0,5.8,0.0,6.1,0.312,0.000,6.5,6.8
21,02/09/25 06:35:00,0.183,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.9,0.104,7.3,7.5,9.0,8.5,8.0,0.091,7.8,9.4,0.379,0.110,0.120,8.3,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.379,7.6,0.444,7.2,7.0,7.5,0.552,7.3,0.343,7.5,5.8,7.8,6.0,0.312,0.442,6.5,6.7
22,02/09/25 06:40:00,0.182,0.152,6.8,7.3,4.8,0.002,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.9,0.104,7.3,7.4,9.1,8.5,8.0,0.091,7.8,9.4,0.379,0.110,0.120,8.3,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,7.0,0.0,0.552,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
23,02/09/25 06:45:00,0.183,0.152,6.8,7.3,4.8,0.003,0.006,6.1,5.4,5.6,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.4,9.1,8.5,8.0,0.091,7.6,9.4,0.379,0.110,0.119,8.3,7.5,0.237,0.432,8.0,0.515,7.8,6.8,0.379,7.5,0.445,7.2,7.0,7.5,0.550,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
24,02/09/25 06:50:00,0.182,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.4,9.1,8.5,8.0,0.091,7.6,9.5,0.379,0.110,0.120,8.3,7.5,0.237,0.432,8.0,0.515,7.8,6.8,0.378,7.5,0.445,7.2,7.0,7.5,0.550,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
25,02/09/25 06:55:00,0.183,0.152,6.8,7.3,4.8,0.002,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.4,9.1,8.5,8.0,0.091,7.6,9.4,0.379,0.110,0.119,8.1,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.379,7.5,0.000,7.2,7.0,0.0,0.550,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
26,02/09/25 07:00:00,0.182,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.4,9.0,8.5,8.0,0.091,7.6,9.5,0.379,0.110,0.119,8.3,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.1,6.8,0.0,0.000,0.0,0.343,0.0,5.7,0.0,6.1,0.312,0.000,6.5,6.7
27,02/09/25 07:05:00,0.182,0.152,6.6,7.3,4.8,0.002,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.8,0.104,7.3,7.3,9.0,8.6,8.0,0.091,7.5,9.4,0.379,0.110,0.119,8.1,7.5,0.237,0.432,7.8,0.515,8.0,6.8,0.378,7.5,0.445,7.2,7.0,7.5,0.550,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
28,02/09/25 07:10:00,0.182,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.5,6.6,0.104,7.3,7.4,9.0,8.5,8.0,0.091,7.5,9.5,0.379,0.110,0.119,8.1,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.379,7.5,0.000,7.2,7.0,0.0,0.550,7.5,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.8
29,02/09/25 07:15:00,0.182,0.152,6.8,7.3,4.8,0.003,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.6,0.104,7.3,7.3,9.1,8.5,8.0,0.091,7.5,9.4,0.379,0.110,0.120,8.1,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.379,7.5,0.445,7.2,7.0,7.5,0.550,7.3,0.343,7.3,5.8,7.8,6.1,0.312,0.442,6.5,6.7
30,02/09/25 07:20:00,0.182,0.152,6.8,7.3,4.6,0.002,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.5,0.104,7.3,7.3,9.1,8.5,8.0,0.091,7.4,9.4,0.379,0.110,0.120,8.1,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.379,7.6,0.444,7.2,6.8,7.5,0.000,0.0,0.343,0.0,5.7,0.0,6.1,0.312,0.000,6.5,6.8
31,02/09/25 07:25:00,0.182,0.152,6.6,7.1,4.6,0.003,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.5,0.104,7.3,7.3,9.0,8.6,8.0,0.091,7.4,9.4,0.379,0.110,0.119,8.1,7.5,0.237,0.432,8.0,0.515,7.8,6.8,0.378,7.6,0.445,7.2,6.8,7.5,0.550,7.5,0.342,7.5,5.7,7.8,6.1,0.312,0.442,6.5,6.7
32,02/09/25 07:30:00,0.182,0.152,6.8,7.3,4.6,0.003,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.5,0.104,7.3,7.3,9.1,8.5,8.0,0.091,7.3,9.4,0.379,0.110,0.119,8.0,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.379,7.6,0.445,7.2,6.8,7.5,0.000,0.0,0.342,0.0,5.7,0.0,6.1,0.312,0.000,6.5,6.8
33,02/09/25 07:35:00,0.182,0.152,6.8,7.3,4.6,0.002,0.006,6.0,5.4,5.5,0.309,0.055,7.8,7.6,6.4,0.104,7.4,7.3,9.0,8.5,8.0,0.091,7.3,9.4,0.379,0.110,0.119,8.1,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.379,7.6,0.445,7.2,6.8,7.5,0.549,7.3,0.342,7.5,5.8,7.8,6.1,0.312,0.442,6.5,6.7
34,02/09/25 07:40:00,0.182,0.152,6.8,7.3,4.5,0.003,0.006,6.0,5.4,5.5,0.309,0.055,7.6,7.6,6.4,0.104,7.4,7.3,9.1,8.5,8.0,0.091,7.3,9.4,0.379,0.110,0.120,8.1,7.5,0.237,0.432,8.0,0.515,7.8,6.8,0.378,7.5,0.445,7.2,6.8,7.5,0.549,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.440,6.6,6.7
35,02/09/25 07:45:00,0.182,0.152,6.6,7.3,4.5,0.002,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.3,0.104,7.4,7.3,9.1,8.6,8.0,0.091,7.1,9.5,0.379,0.110,0.119,8.0,7.5,0.237,0.432,7.8,0.515,8.0,6.8,0.378,7.6,0.445,7.2,6.8,7.5,0.549,7.3,0.342,7.3,5.7,7.8,6.1,0.312,0.440,6.6,6.7
36,02/09/25 07:50:00,0.182,0.152,6.8,7.3,4.5,0.002,0.006,6.0,5.4,5.6,0.309,0.055,7.8,7.6,6.3,0.104,7.3,7.3,9.1,8.5,8.0,0.091,7.1,9.4,0.379,0.110,0.119,8.0,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.5,0.000,7.2,6.8,0.0,0.549,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.440,6.5,6.7
37,02/09/25 07:55:00,0.182,0.152,6.8,7.3,4.5,0.002,0.006,6.0,5.4,5.5,0.308,0.055,7.8,7.6,6.3,0.104,7.4,7.1,9.1,8.6,8.0,0.091,7.0,9.4,0.379,0.110,0.119,8.0,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,6.8,0.0,0.550,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.442,6.5,6.7
38,02/09/25 08:00:00,0.182,0.152,6.8,7.3,4.5,0.003,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,6.1,0.104,7.4,7.1,9.1,8.6,8.0,0.091,7.0,9.4,0.379,0.110,0.119,8.0,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,6.8,0.0,0.549,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.442,6.6,6.8
39,02/09/25 08:05:00,0.182,0.152,6.6,7.3,4.5,0.003,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,6.0,0.104,7.4,7.1,9.0,8.6,8.0,0.091,6.9,9.4,0.379,0.110,0.119,8.0,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.378,7.6,0.445,7.2,6.8,7.5,0.549,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.442,6.5,6.7
40,02/09/25 08:10:00,0.182,0.152,6.8,7.3,4.5,0.003,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,6.0,0.104,7.4,7.1,9.1,8.6,8.0,0.091,6.9,9.4,0.379,0.110,0.119,7.9,7.5,0.237,0.432,8.0,0.515,8.0,6.8,0.378,7.5,0.445,7.2,6.7,7.5,0.547,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.440,6.6,6.8
41,02/09/25 08:15:00,0.182,0.152,6.8,7.3,4.4,0.003,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,6.0,0.104,7.3,7.1,9.1,8.6,8.0,0.091,6.8,9.4,0.379,0.109,0.119,7.9,7.5,0.237,0.432,7.8,0.515,8.0,6.8,0.378,7.6,0.445,7.2,6.7,7.5,0.547,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.442,6.6,6.8
42,02/09/25 08:20:00,0.182,0.152,6.8,7.3,4.4,0.003,0.006,6.0,5.4,5.5,0.308,0.055,7.8,7.6,5.9,0.104,7.3,7.0,9.1,8.6,8.0,0.091,6.8,9.4,0.379,0.109,0.119,7.9,7.5,0.237,0.432,0.0,0.000,0.0,6.7,0.378,7.6,0.000,7.2,6.7,0.0,0.547,7.3,0.342,7.3,5.7,7.8,6.1,0.312,0.440,6.5,6.8
43,02/09/25 08:25:00,0.182,0.152,6.8,7.3,4.4,0.002,0.006,6.1,5.4,5.5,0.308,0.055,7.8,7.6,5.9,0.104,7.4,7.1,9.0,8.6,8.0,0.091,6.8,9.4,0.379,0.109,0.119,7.9,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,6.7,0.0,0.549,7.3,0.342,7.5,5.7,7.6,6.1,0.312,0.442,6.6,6.8
44,02/09/25 08:30:00,0.182,0.152,6.8,7.3,4.4,0.002,0.006,6.1,5.4,5.6,0.308,0.055,7.8,7.6,5.8,0.104,7.4,7.1,9.1,8.6,8.0,0.091,6.6,9.4,0.379,0.109,0.119,7.9,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,6.7,0.0,0.550,7.3,0.342,7.5,5.7,7.8,6.1,0.312,0.440,6.6,6.8
45,02/09/25 08:35:00,0.182,0.152,6.8,7.3,4.4,0.003,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,5.8,0.104,7.4,7.0,9.1,8.6,8.0,0.091,6.5,9.4,0.379,0.110,0.119,7.9,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.3,6.6,0.0,0.547,7.3,0.342,7.3,5.6,7.8,6.1,0.312,0.440,6.6,6.7
46,02/09/25 08:40:00,0.182,0.151,6.8,7.3,4.4,0.002,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,5.8,0.104,7.4,7.0,9.1,8.6,8.0,0.091,6.6,9.4,0.379,0.109,0.119,7.9,7.5,0.237,0.432,0.0,0.000,0.0,6.8,0.378,7.6,0.000,7.2,6.6,0.0,0.547,7.3,0.342,7.5,5.6,7.8,6.1,0.312,0.440,6.5,6.8
47,02/09/25 08:45:00,0.182,0.151,6.8,7.3,4.3,0.002,0.007,6.0,5.4,5.6,0.308,0.055,7.8,7.6,5.8,0.104,7.4,7.0,9.1,8.6,8.0,0.091,6.5,9.4,0.379,0.109,0.119,7.8,7.5,0.237,0.432,7.8,0.515,7.8,6.8,0.378,7.6,0.445,7.2,6.6,7.5,0.547,7.3,0.342,7.5,5.6,7.8,6.1,0.312,0.440,6.6,6.7
